id,title,release_date,vote_average,vote_count,genres,budget,popularity,revenue,neg,neu,pos,compound,topics
16869,Inglourious Basterds,1250654400,8.2,17863,"['drama', 'action', 'thriller', 'war']",70000000,103.357,321455689,0.122,0.718,0.16,0.9999,"[7.767244150832595e-06,0.40749624607894736,7.1387172332755806e-06,7.406431441351684e-06,7.371242398560839e-06,7.525986972611315e-06,1.4593054197578758e-05,0.5924377024090721,6.974412074590565e-06,7.274423511785259e-06]"
120,The Lord of the Rings: The Fellowship of the Ring,1008651600,8.4,20135,"['adventure', 'fantasy', 'action']",93000000,102.296,871368364,0.072,0.72,0.208,1.0,"[8.262356410298732e-06,3.196883651468327e-05,7.593764863224531e-06,7.87854418802619e-06,7.841112110867002e-06,8.005720556038502e-06,0.9999012224737577,1.2070083799782134e-05,7.418986293166346e-06,7.73812150637291e-06]"
61979,Three Steps Above Heaven,1291352400,7.8,2307,"['romance', 'drama']",0,101.242,0,0.126,0.67,0.205,0.9999,"[1.954020372287042e-05,0.17105677343335082,1.7959005437970466e-05,1.863249910602121e-05,1.8543973556833185e-05,1.8933266818559817e-05,0.8287852262172344,2.8545336589877547e-05,1.754566019662289e-05,1.8300403986098952e-05]"
793103,Ponyo: Meet Ponyo,1267506000,7.0,9,"['fantasy', 'animation', 'adventure']",0,11.299,0,0.049,0.746,0.205,1.0,"[0.542530559356768,0.19528459463924372,1.0765651437831964e-05,1.1169382008622046e-05,1.1116314507560577e-05,1.1349679153421548e-05,0.26210184506816225,1.7111734944436905e-05,1.0517868476849263e-05,1.0970305297270627e-05]"
27578,The Expendables,1280808000,6.2,6257,"['thriller', 'adventure', 'action']",80000000,98.515,274470394,0.115,0.761,0.124,0.9985,"[9.43107422596604e-06,0.6063214168728844,8.667908590161084e-06,0.00791424441684867,8.950243800447157e-06,9.138135728597842e-06,1.7718673597649998e-05,0.3856931315822778,8.468407451120148e-06,8.832684595193285e-06]"
121,The Lord of the Rings: The Two Towers,1040187600,8.4,17394,"['adventure', 'fantasy', 'action']",79000000,97.063,926287400,0.088,0.741,0.171,1.0,"[9.02989234011524e-06,3.502781021259935e-05,8.299191573742651e-06,8.610425576555639e-06,8.569516206732174e-06,8.74941591712683e-06,0.9998919572695234,1.319134354482069e-05,8.108176835593331e-06,8.456958269289616e-06]"
37786,Sex and the City 2,1274846400,6.1,1344,"['comedy', 'drama', 'romance']",100000000,96.721,290745055,0.084,0.759,0.157,1.0,"[0.6024645882898518,0.3974432358534374,9.449944073081318e-06,9.804333242758881e-06,9.757751400592297e-06,9.96259581190886e-06,1.9318825936390807e-05,1.5020376282628847e-05,9.232443554283987e-06,9.629586409042171e-06]"
18823,Clash of the Titans,1270008000,5.8,5103,"['adventure', 'fantasy', 'action']",125000000,95.802,493214993,0.087,0.746,0.167,1.0,"[0.025601704586813302,0.22115671625885,0.005408905820759551,9.557797139692518e-06,0.0055976967730229695,0.021154507989329763,0.08243860740666081,0.6144385358021954,9.000287618674388e-06,0.024184767277609744]"
28510,Universal Soldier: Regeneration,1254369600,5.6,322,"['adventure', 'action', 'science fiction', 'thriller']",14000000,94.546,875386,0.142,0.722,0.136,-0.9985,"[8.478047831952645e-06,3.2631766490990714e-05,7.792002696481311e-06,0.999890972474289,8.045806929746502e-06,8.214712460224322e-06,1.592733317155412e-05,1.238506689514895e-05,7.612661463715924e-06,7.940127771331074e-06]"
9543,Prince of Persia: The Sands of Time,1274241600,6.2,5585,"['adventure', 'fantasy', 'action']",150000000,94.27,335154643,0.091,0.739,0.17,1.0,"[0.7729498274365719,3.5155419784854045e-05,8.32634561814078e-06,8.638597917365373e-06,8.597554749094778e-06,8.778043070211026e-06,1.7022120781343606e-05,0.22694703514713155,8.134705893600632e-06,8.484628481758063e-06]"
122,The Lord of the Rings: The Return of the King,1070254800,8.5,18713,"['adventure', 'fantasy', 'action']",94000000,94.255,1118888979,0.094,0.742,0.164,1.0,"[7.355356591318221e-06,0.03273594943509004,6.7601594633980785e-06,7.0136772352565154e-06,6.980354123368322e-06,7.126892793689047e-06,0.9541789614588068,0.013036359429450944,6.60456712914338e-06,6.888669316033221e-06]"
20533,Jonah Hex,1276833600,4.9,1111,"['action', 'western', 'drama', 'fantasy', 'thriller']",47000000,89.904,10539000,0.157,0.703,0.14,-0.9997,"[9.967631463256904e-06,0.3451573356518738,9.161048636165217e-06,9.504603934001568e-06,0.11432283352458471,9.658028438493219e-06,0.3478465662226377,0.15301277236118496,0.03961286572781888,9.3351994280538e-06]"
8355,Ice Age: Dawn of the Dinosaurs,1245988800,6.7,6609,"['animation', 'comedy', 'family', 'adventure']",90000000,89.616,886686817,0.08,0.723,0.198,1.0,"[1.5097989034854405e-05,0.5174475586802398,0.4824158677938096,1.4396640079469754e-05,1.4328239804002031e-05,1.4629032472344326e-05,2.8368904367267777e-05,2.2055797525187602e-05,1.3556879817761257e-05,1.4140042849715768e-05]"
10193,Toy Story 3,1276660800,7.8,11973,"['animation', 'family', 'comedy']",200000000,89.527,1066969703,0.056,0.745,0.2,1.0,"[1.176741625168091e-05,0.6493757254279973,1.0815193585384011e-05,1.1220782423069962e-05,1.1167470354293333e-05,1.1401908977815785e-05,0.061923195018575426,1.7190567682376428e-05,1.056627044311119e-05,0.28861694994370957]"
42194,TEKKEN,1269057600,5.4,519,"['crime', 'drama', 'action', 'thriller', 'science fiction']",30000000,88.134,967000,0.139,0.711,0.149,0.9977,"[1.3441098143722538e-05,0.07984792337070935,1.2353440974049743e-05,1.281671635907499e-05,1.2755822266299679e-05,1.3023605553147076e-05,2.5257019096831828e-05,0.9200377715350289,1.2069113393828997e-05,1.258827847502543e-05]"
8363,Superbad,1174363200,7.2,5444,['comedy'],20000000,88.106,121463226,0.099,0.703,0.198,1.0,"[1.1620733967870123e-05,0.846479730858129,1.0680381792840743e-05,1.108091440984872e-05,1.1028267425899456e-05,1.125978388996869e-05,0.15342630516040062,1.6975923913072668e-05,1.0434561446950562e-05,1.0883414623772162e-05]"
17979,A Christmas Carol,1257310800,6.8,3603,"['animation', 'family', 'drama', 'fantasy']",200000000,87.931,325286646,0.089,0.752,0.159,1.0,"[8.402323349693644e-06,3.2440240512185066e-05,7.722405638670336e-06,8.01200915108598e-06,7.97394284475651e-06,8.141339790792287e-06,1.5786139341134515e-05,0.9998961077253998,7.544666232990011e-06,7.869207738929786e-06]"
9806,The Incredibles,1098849600,7.7,14605,"['action', 'adventure', 'animation', 'family']",92000000,87.423,631442092,0.072,0.726,0.202,1.0,"[1.425698668125832e-05,0.3451717808799116,1.3103308320967922e-05,1.359470497745007e-05,1.3530114644462332e-05,1.3814152205095761e-05,2.6791839925291175e-05,2.0827305077400475e-05,1.2801721816222461e-05,0.6546994989864402]"
33273,Cell 211,1257483600,7.5,921,"['action', 'thriller', 'drama']",5700000,87.005,19300483,0.172,0.677,0.151,-0.9996,"[1.3410996095666071e-05,0.4655131991832238,1.2325773732666643e-05,0.5343659522125938,1.2727254036363285e-05,1.2994437032781024e-05,2.51965099869028e-05,1.959146518213219e-05,1.2042082940756999e-05,1.2560085174975988e-05]"
18239,The Twilight Saga: New Moon,1258520400,6.0,7594,"['adventure', 'fantasy', 'drama', 'romance']",50000000,85.456,709827462,0.105,0.728,0.167,1.0,"[1.1059364003016236e-05,4.294759574900116e-05,1.0164438018081288e-05,1.0545621840188466e-05,1.0495518008681807e-05,1.0715850328853215e-05,2.077791680140305e-05,0.99986300553983,9.930492645773242e-06,1.035766277510316e-05]"
