title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg,topics
Snake Eyes: G.I. Joe Origins,6.575307301339503,6.8,503.825,2021-07-22,879,88000000,36964325,0.119,"[1.0569484582308333e-05,0.5264006079645903,9.325433302256876e-06,0.03126381500946321,1.4346489009193617e-05,9.528897652230185e-06,9.73871183281858e-06,0.44143179228125806,9.144526974617881e-06,0.0008411312013349677]"
Last Night in Soho,6.965313910030436,7.5,404.011,2021-10-21,782,43000000,19000000,0.088,"[0.016310182563124567,9.535027601343114e-06,0.2546965262204855,1.456401330889595e-05,1.2796764413808408e-05,8.499583135508896e-06,8.686733288234466e-06,0.7171378249180453,0.002542816155290033,0.009258568021306753]"
Paranormal Activity: Next of Kin,6.575307301339503,6.6,1127.56,2021-10-29,154,0,0,0.12,"[2.6263050796147642e-05,2.6561849653783957e-05,2.3171831064261116e-05,4.0570535468217184e-05,0.04636498062197645,2.3677398971197094e-05,2.4198745738923763e-05,0.649615206672204,2.2722314993086326e-05,0.30383264697913404]"
Dark Spell,6.507301400941156,7.1,672.562,2021-02-11,53,0,515596,0.155,"[0.00018970460126356727,0.6348211864646476,0.0001673759789927751,0.0002930447992633323,0.00025749208414351367,0.00017102782807498906,0.00017479364138939563,0.3635863639912884,0.0001641290132661519,0.00017488159767030945]"
PAW Patrol: The Movie,7.201154436257068,7.6,467.079,2021-08-09,743,26000000,135000000,0.065,"[0.018876825077752468,3.084978622622768e-05,0.0014859414562787396,4.7120461713611594e-05,4.1402396428011194e-05,0.38364971583874563,2.8105203491854883e-05,0.595785530005683,2.6390429357183413e-05,2.8119344323244724e-05]"
El amarre,6.485262891404364,7.4,516.528,2021-10-21,27,0,0,0.222,"[0.0005652300900744183,0.000571660949933745,0.0004987013935725244,0.14427396910031556,0.0007672072834018841,0.21180240740802814,0.0005208025570568453,0.5426640723816389,0.0004890269603627932,0.09784692187561506]"
Apex,6.4626923390161615,5.5,805.068,2021-11-12,276,0,0,0.187,"[2.742901508624248e-05,2.7741085731439493e-05,2.4200567618467347e-05,0.46621588466961306,0.22349630731447143,2.4728580720448835e-05,2.5273072678014082e-05,0.3101094188100613,2.3731094825963112e-05,2.5285789193309362e-05]"
Zack Snyder's Justice League,7.041305702965725,8.4,365.097,2021-03-18,6949,70000000,657000000,0.087,"[8.69217854796176e-06,8.791072911774899e-06,7.669091575511648e-06,0.0041729659654816745,1.1798311146101063e-05,7.836417600639132e-06,8.008965405767827e-06,0.9957587046848749,7.520317022474775e-06,8.012995432993479e-06]"
The Seven Deadly Sins: Cursed by Light,6.625360391904651,8.1,976.679,2021-07-02,245,0,0,0.154,"[0.0001603522178405086,0.00016217661042242042,0.0001414784474514193,0.15394137539903735,0.00021765321012055065,0.4544321701565825,0.00014774839510289778,0.39051048895159257,0.00013873387311838807,0.00014782273873130433]"
Mickey and Minnie Wish Upon a Christmas,6.731647397612182,7.2,388.242,2021-12-02,31,0,0,0.13,"[0.5337397500496541,0.00037943331505682485,0.0003310072030430291,0.0005795406327710427,0.10032053376814107,0.00033822918971855787,0.0003456766092310633,0.36329539281338236,0.00032458591286251893,0.0003458505061394706]"
The Simpsons in Plusaversary,6.953762689820139,6.7,1020.358,2021-11-12,165,0,0,0.107,"[0.10491745876859454,4.826581627422663e-05,4.210578441444924e-05,7.371838056862605e-05,6.477623401664182e-05,4.3024456942948526e-05,4.397180097426671e-05,0.8946813958697325,4.1288963128373904e-05,4.399392535330895e-05]"
Trolls Holiday in Harmony,7.092601734310736,7.7,798.876,2021-11-26,43,0,0,0.0,"[0.25643043785796654,0.0007608954490029224,0.0006637844266614591,0.0011622920990191075,0.001021162149788207,0.4474460298961377,0.0006932016041288441,0.2904777385840712,0.000650907520429217,0.0006935504127947774]"
