title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg,topics
The Lion King,7.294448994370533,8.3,138.857,1994-06-23,14715,45000000,763455561,0.071,"[0.7852789228691953,1.2987802716107214e-05,1.1330204810816915e-05,1.9837317460005813e-05,1.743049801280639e-05,1.157740974357823e-05,1.1832329485521055e-05,0.21461313287725386,1.11104074467724e-05,1.1838283875237147e-05]"
Jennifer's Body,6.653265078707147,5.8,83.373,2009-09-18,2806,16000000,31556061,0.121,"[8.861118858386135e-06,8.961934550181441e-06,7.818147673560714e-06,1.3688452482118882e-05,1.2027488200452424e-05,7.988725831533529e-06,8.164627190661736e-06,0.9999166542878474,7.666481540868653e-06,8.168735824910162e-06]"
Dragon Ball Z: The World's Strongest,6.570429952756345,6.4,79.94,1990-03-10,344,0,0,0.146,"[5.190194441372897e-05,5.2492469769660236e-05,0.008045338537079647,0.020546935749892407,7.044963289682333e-05,0.4318791018957527,4.7822398466513024e-05,0.5392132062808344,4.4904626930492345e-05,4.7846463963697955e-05]"
Dragon Ball Z: Super Android 13!,6.548391443219556,6.7,85.986,1992-07-11,356,0,18554927,0.163,"[4.1888209266688975e-05,4.236479548986685e-05,3.695788111351664e-05,6.47090440630025e-05,5.6856942349413026e-05,0.5258193441132101,3.8595757465070375e-05,0.39502738037495777,3.624092618688221e-05,0.07883566195589788]"
Green Lantern,6.8690524142992935,5.2,86.668,2011-06-16,5957,200000000,219851172,0.101,"[1.0694027945853825e-05,1.081569738004432e-05,9.435317664642689e-06,1.651955671748854e-05,0.593106606964936,9.64117976948785e-06,9.853467108013939e-06,0.406807323084471,9.252279695734842e-06,9.858424311609382e-06]"
The Hangover Part II,6.990269993191272,6.4,106.448,2011-05-25,8551,80000000,586764305,0.083,"[1.1190699955401966e-05,1.1318024308440673e-05,9.873532421629366e-06,0.04738210529883061,1.5189588352604656e-05,1.0088955575183506e-05,1.0311101395445818e-05,0.9525299245159203,9.681993464158238e-06,1.0316289776324354e-05]"
Just Go with It,6.9974334160900975,6.6,96.65,2011-02-10,4469,80000000,214945591,0.08,"[1.1876685679493345e-05,1.2011810757093059e-05,1.0478775612733424e-05,0.3228051931657487,1.6120632247634047e-05,1.0707403885464553e-05,1.094316714422307e-05,0.33851732771963117,1.0275495454990578e-05,0.3385950651438385]"
The Twilight Saga: Breaking Dawn - Part 1,6.605383342988917,6.2,107.936,2011-11-16,7290,110000000,712171856,0.12,"[0.006879044100067968,1.103122274328202e-05,9.623335234965334e-06,0.0022762862750730297,1.480470021239485e-05,9.833299417872797e-06,1.0049815794212182e-05,0.9907698357284741,9.436649693940501e-06,1.0054873288275904e-05]"
Drive,7.124607005093383,7.6,80.553,2011-08-06,9872,15000000,78054825,0.102,"[0.008748533407862268,0.02447498970815849,0.011063387329262209,0.2613592934619805,0.10518440099121149,9.119661504412606e-06,0.03706161267811868,0.4091941872274817,0.01851447453785206,0.12439000099656841]"
Naruto Shippuden the Movie: Blood Prison,6.548391443219556,7.2,224.977,2011-07-30,319,0,0,0.19,"[8.054581828905187e-05,8.146221973262328e-05,0.36221787827954777,0.00012442259968503428,0.00010932733619798337,7.26159447013955e-05,7.421485509335496e-05,0.6370955939415913,6.968680816085396e-05,7.425219700068243e-05]"
"Monsters, Inc.",7.294448994370533,7.8,151.543,2001-11-01,14912,115000000,562816256,0.074,"[1.507409491853812e-05,1.5245596719329355e-05,1.32998429909453e-05,0.6787043979828513,2.046052015316286e-05,1.3590021930063732e-05,1.3889257801095764e-05,0.32117710460088306,1.304183623099794e-05,1.3896245521405382e-05]"
Scary Movie,6.497561256768754,6.3,83.049,2000-07-07,5220,19000000,278019771,0.156,"[1.4196131982322138e-05,1.4357647964047474e-05,1.2525218544362589e-05,2.192956507039222e-05,1.926900864682907e-05,1.2798496620759981e-05,1.3080303146944962e-05,0.7417254705524088,0.25815328619000094,1.308688561464436e-05]"
