title,vote_average,popularity,prediction,release_date,vote_count,budget,revenue,neg
Your Name,0.0,83.315,6.834852737166466,0,0,0,0,0.046
No Manches Frida 2,8.1,101.149,5.852465032235692,1552608000,653,0,0,0.092
Rascal Does Not Dream of a Dreaming Girl,8.5,174.58,7.037334048756511,1560556800,331,0,0,0.066
Chernobyl: Abyss,6.3,1851.254,7.0658383027582214,1618444800,237,9100000,5370393,0.117
After We Collided,7.3,301.702,7.0820446328477775,1599004800,4336,0,42000000,0.112
A Boy Called Christmas,7.8,588.848,6.866980607253295,1637798400,232,0,0,0.065
The Christmas Chronicles: Part Two,6.6,123.073,6.787627025424756,1605657600,690,0,0,0.087
Home Sweet Home Alone,5.4,556.221,6.99907506642395,1636675200,256,0,0,0.182
Zone 414,5.5,388.322,6.511550099281738,1630627200,112,5000000,0,0.1
El amarre,7.4,516.528,6.758775927303756,1634774400,27,0,0,0.213
We Bare Bears: The Movie,7.9,106.678,6.6514061870465815,1593475200,693,0,0,0.084
Bordertown: The Mural Murders,7.0,722.268,5.463535129739794,1635292800,27,3000000,0,0.128
Bloodthirsty,6.3,134.254,6.738492037219542,1619136000,20,0,0,0.113
"Miraculous World: New York, United HeroeZ",8.3,308.246,7.119618898550975,1605916800,826,0,0,0.092
Apex,5.5,805.068,6.755074253669044,1636675200,276,0,0,0.184
8-Bit Christmas,6.4,504.103,6.986679348985277,1637798400,102,0,0,0.067
Single All the Way,6.4,811.853,6.692073895388532,1638403200,122,0,0,0.082
