title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg
Bumblebee,6.894864755,6.7,76.626,2018/12/15,4711,135000000,467989645,0.107
Spider-Man: Far From Home,7.157066477,7.5,897.325,2019/6/28,11203,160000000,1131927996,0.084
John Wick: Chapter 3 - Parabellum,6.660094192,7.4,147.501,2019/5/15,7458,55000000,326709727,0.12
Greta,6.941448321,6.6,83.119,2019/2/28,934,0,0,0.097
A Quiet Place Part II,6.872826245,7.7,224.144,2021/5/21,3443,61000000,297372261,0.107
Sonic the Hedgehog,7.123103138,7.4,456.388,2020/2/12,7313,85000000,306766470,0.072
Joker,6.814596288,8.2,101.748,2019/10/2,19277,55000000,1074251311,0.133
Meander,6.546189202,5.8,220.221,2021/5/26,150,0,700000,0.129
No Manches Frida 2,6.859497123,8.1,101.149,2019/3/15,653,0,0,0.092
Encanto,7.201154436,7.4,2579.114,2021/11/24,333,0,151000000,0.054
Fall in Love at First Kiss,6.559980737,6.7,99.543,2019/2/14,71,0,0,0.165
La Llorona,6.43357424,6.6,81.245,2020/1/22,228,0,0,0.166
Money Heist: The Phenomenon,6.955753467,7.5,314.125,2020/4/3,917,0,0,0.082
Once Upon a Snowman,7.172036337,6.9,169.083,2020/10/23,396,0,0,0.022
The More the Merrier,6.703654261,6.8,4.356,1943/3/26,54,0,0,0.074
Annette,6.98735242,7.1,455.949,2021/7/6,299,15500000,2576020,0.054
The Suicide Squad,6.555687324,7.8,507.489,2021/7/28,4990,180000000,167381210,0.132
Jungle Cruise,6.98735242,7.7,517.242,2021/7/28,3537,200000000,217000000,0.081
Resident Evil: Welcome to Raccoon City,6.462692339,5.9,432.436,2021/1/6,140,40000000,24000000,0.131
Finch,6.98735242,8.2,1039.612,2021/11/4,1453,0,0,0.071
Snake Eyes: G.I. Joe Origins,6.575307301,6.8,503.825,2021/7/22,879,88000000,36964325,0.119
Last Night in Soho,6.96531391,7.5,404.011,2021/10/21,782,43000000,19000000,0.088
Paranormal Activity: Next of Kin,6.575307301,6.6,1127.56,2021/10/29,154,0,0,0.12
Dark Spell,6.507301401,7.1,672.562,2021/2/11,53,0,515596,0.155
PAW Patrol: The Movie,7.201154436,7.6,467.079,2021/8/9,743,26000000,135000000,0.065
El amarre,6.485262891,7.4,516.528,2021/10/21,27,0,0,0.222
Apex,6.462692339,5.5,805.068,2021/11/12,276,0,0,0.187
Zack Snyder's Justice League,7.041305703,8.4,365.097,2021/3/18,6949,70000000,657000000,0.087
The Seven Deadly Sins: Cursed by Light,6.625360392,8.1,976.679,2021/7/2,245,0,0,0.154
Mickey and Minnie Wish Upon a Christmas,6.731647398,7.2,388.242,2021/12/2,31,0,0,0.13
The Simpsons in Plusaversary,6.95376269,6.7,1020.358,2021/11/12,165,0,0,0.107
Trolls Holiday in Harmony,7.092601734,7.7,798.876,2021/11/26,43,0,0,0
